fecha,nombre,area,circuito,estructura,lat,long,observaciones,apoyoTipo,apoyoCantidad,configuracion,disposicion,altura,característicasPlaca,avifauna,avifaunaEquipos,crucetaSup,crucetaInf,bayonetaTipo,bayonetaObservaciones,templeteCant,templeteAvifauna,aisladorTipo,aisladorA,aisladorB,aisladorC,dpsA,dpsB,dpsC,seccionador,equiposAdicionales,sptBajante,sptConexion,sptCantidad,sptEstado,"fotoPath,,,,,,",fotoPath_limpio,LATITUD NUEVO,LONGITUD NUEVO,CIRCUITO,Estructura,Nombre Imagen,Termografia,Imagen normal
5/28/2025 13:22,,kitaro,kitaro-akira,P-04B,4.3413863,-72.715766,estructura en derivación ,P,1.0,Otro,Triangular,12.0,,Sí,grapas y puente,1.0,1,Doble,,2.0,,Cadenas de aisladores,,,,,,,No,linepost,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_132312_7772683813862577315.jpg,,,,,,",JPEG_20250528_132312_7772683813862577315.jpg,4.340594844,-72.71635292,PONYO-KITARO,P-04B,Kitaro - Ponyo,image63.png,image64.png
5/29/2025 8:15,,kitaro,kitaro-ponyo,P-04B,4.3410379,-72.7159764,"Estructura que cuenta con 2 circuitos, uno de la red actual kitaro -ponyo  con doble aislador (a desmantelar) y el que quedará en la conexión con el pórtico R9",P,1.0,Otro,Otro,14.0,,Sí,circuito actual aisladores y circuito futuro grapas y crucetas,1.0,1,Doble,,1.0,1.0,Aislador,,,,,,,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_082805_4132922653516602039.jpg,,,,,",JPEG_20250529_082805_4132922653516602039.jpg,4.340594844,-72.71635292,PONYO-KITARO,P-04B,Kitaro - Ponyo,image63.png,image64.png
5/28/2025 14:48,,akira,akira-akiranoreste,P-04C,4.3480483,-72.7130503,Retención canadiense con dps,P,1.0,Retención,Canadiense,14.0,,Sí,grapas y dps,1.0,1,Doble,bayonetas cortas,2.0,2.0,Aislador,,,,1.0,1.0,1.0,No,dps,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_145213_4459864942990581006.jpg,,,,,,",JPEG_20250528_145213_4459864942990581006.jpg,4.3480483,-72.7130503,,P-04C,Akira Norte - Akira NE,image27.png,image28.png
5/28/2025 16:29,,bacano,bacano-r4,P-05,4.3582139,-72.7586694,Retención en una sola cruceta horizontal con cadena del medio con 7 discos y puente con linepost,P,1.0,Retención,Triangular,14.0,,Sí,grapas,1.0,,Doble,,2.0,2.0,Cadenas de aisladores,,,,1.0,1.0,1.0,No,"linepost, cadena de 7 discos en fase del medio y dps",2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_163701_318706191250186309.jpg,,,,,",JPEG_20250528_163701_318706191250186309.jpg,4.357897092,-72.75599863,BACANO-R4,P-05,Bacano - R4,image43.png,image44.png
5/28/2025 13:23,,kitaro,kitaro-akira,P05-A,4.3413863,-72.715766,estructura de paso ,P,1.0,Otro,Triangular,,,Sí,dps y aisladores,1.0,1,Sencilla,,,,Pin,,,,1.0,1.0,1.0,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_132744_3122404542977844572.jpg,,,,,,",JPEG_20250528_132744_3122404542977844572.jpg,4.3413863,-72.715766,,,,,
5/29/2025 8:29,,kitaro,kitaro-ponyo,P-05B,,,"poste a desmantelar - actual circuito kitaro -ponyo, retención en d os niveles de crucetas ",P,1.0,Retención,Otro,14.0,1350.0,Sí,grapas y dps,1.0,1,Doble,,2.0,2.0,Cadenas de aisladores,,,,1.0,0.0,1.0,No,linepost y dps ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_083757_6901034154724490098.jpg,,,,,",JPEG_20250529_083757_6901034154724490098.jpg,4.340286767,-72.716792,PONYO-KITARO,P-05B,Kitaro - Ponyo,image65.png,image66.png
5/29/2025 8:29,,kitaro,kitaro-ponyo,P-05B,,,"poste a desmantelar - actual circuito kitaro -ponyo, retención en d os niveles de crucetas ",P,1.0,Retención,Otro,14.0,1350.0,Sí,grapas y dps,1.0,1,Doble,,2.0,2.0,Cadenas de aisladores,,,,1.0,0.0,1.0,No,linepost y dps ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_083757_6901034154724490098.jpg,,,,,",JPEG_20250529_083757_6901034154724490098.jpg,4.340286767,-72.716792,PONYO-KITARO,P-05B,Kitaro - Ponyo,image67.png,image68.png
5/28/2025 16:37,,bacano,bacano-r4,P-06,4.3582139,-72.7586694,Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso,P,1.0,Otro,Semibandera,14.0,,Sí,aisladores,2.0,,Sencilla,Cruceta superior con cadena de aisladores en suspensión sin uso ,,,Pin,1.0,1.0,1.0,,,,No,Cadena de aisladores en suspensión sin uso ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_164300_4867799926174630816.jpg,,,,,,",JPEG_20250528_164300_4867799926174630816.jpg,4.357834433,-72.75508785,BACANO-R4,P-06,Bacano - R4,image45.png,image46.png
5/28/2025 13:28,,kitaro,kitaro-akira,P-06A,4.3413863,-72.715766,poste derivación subterráneo a Akira central ,P,1.0,Otro,Semibandera,12.0,,Sí,aisladores,1.0,2,Sencilla,estructura sin dps para transición ,,,Aislador,,,,,,,Sí,premoldeados ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_133444_822183172824708472.jpg,,,,,,",JPEG_20250528_133444_822183172824708472.jpg,4.34279145,-72.71318727,KITARO-AKIRAN,P-06A,Kitaro - Akira Norte,image7.png,image8.png
5/28/2025 13:28,,kitaro,kitaro-akira,P-06A,4.3413863,-72.715766,poste derivación subterráneo a Akira central ,P,1.0,Otro,Semibandera,12.0,,Sí,aisladores,1.0,2,Sencilla,estructura sin dps para transición ,,,Aislador,,,,,,,Sí,premoldeados ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_133444_822183172824708472.jpg,,,,,,",JPEG_20250528_133444_822183172824708472.jpg,4.34279145,-72.71318727,KITARO-AKIRAN,P-06A,Kitaro - Akira Norte,image11.png,image12.png
